params,time,steps,reward_mean,reward_median,reward_min,reward_max,reward_std
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.1}",1.2662449019353517,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.1}",1.282087508882114,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.1}",1.271103402082872,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.7, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3623777351717763,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.8, ""q_init"": ""random"", ""epsilon"": 0.1}",1.3509020393769333,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.9, ""q_init"": ""random"", ""epsilon"": 0.1}",1.2688863432649669,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.0, ""q_init"": ""random"", ""epsilon"": 0.3}",32.4703155004579,100,0.0,0.0,0.0,0.0,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.1, ""q_init"": ""random"", ""epsilon"": 0.3}",1.344887059127359,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.2, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3753587806779706,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.3, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3957329169047625,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.4, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3497821830328576,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.5, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3547720756307626,100,0.125,0.125,0.125,0.125,0.0
"{""epsilon_decay"": 0.0001, ""alpha"": 0.9, ""discount_factor"": 0.6, ""q_init"": ""random"", ""epsilon"": 0.3}",1.3554188436405639,100,0.125,0.125,0.125,0.125,0.0
